Application_ID,Customer_ID,Application_Date,Applicant_Age,Employment,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Previous_Loans,Existing_Debt_INR,Loan_Term_Months,Debt_to_Income_Ratio,Interest_Rate_Pct,Loan_Purpose,Education,Branch,Approval_Status,Default_Status,Risk_Category
LOAN20035,CUST10035,09-11-2024,46,Self-Employed,608400,255000,655,1,25000,72,0.114,12.42,Business,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20036,CUST10036,18-08-2024,26,Business Owner,812400,407000,741,0,497400,60,0.72,11.24,Home,Graduate,Chennai Central,Approved,Default,High Risk
LOAN20037,CUST10037,27-08-2025,40,Salaried,509000,212000,668,2,112400,60,0.31,8.58,Personal,Postgraduate,Kolkata,Approved,No Default,Medium Risk
LOAN20038,CUST10038,21-07-2023,21,Unemployed,150200,69000,499,0,90800,24,0.847,15.45,Personal,Diploma,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20039,CUST10039,24-08-2024,25,Unemployed,222500,129000,580,0,93300,60,0.541,13.48,Home,High School,Kolkata,Rejected,Not Applicable,High Risk
LOAN20040,CUST10040,30-03-2023,40,Self-Employed,801100,384000,782,0,372900,84,0.541,8.86,Business,Diploma,Bengaluru,Approved,No Default,Medium Risk
LOAN20041,CUST10041,12-03-2024,45,Salaried,336000,50000,722,1,92900,60,0.31,8.98,Vehicle,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20042,CUST10042,30-04-2023,40,Business Owner,1541300,374000,761,2,308400,60,0.253,8.09,Education,Graduate,Coimbatore,Rejected,Not Applicable,Low Risk
LOAN20043,CUST10043,05-06-2023,37,Salaried,540800,266000,726,1,178500,84,0.404,10.09,Business,High School,Pune,Approved,No Default,Medium Risk
LOAN20044,CUST10044,30-08-2025,35,Salaried,572200,50000,656,2,105700,48,0.208,9.12,Personal,Graduate,Delhi,Approved,No Default,Medium Risk
LOAN20045,CUST10045,03-02-2024,23,Salaried,796600,333000,604,0,184100,60,0.319,11.05,Business,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20046,CUST10046,30-11-2024,31,Salaried,634200,210000,632,1,146900,48,0.318,11.82,Personal,Diploma,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20047,CUST10047,07-07-2023,33,Contract,699700,264000,750,1,112900,72,0.229,8.13,Personal,Postgraduate,Bengaluru,Approved,No Default,Low Risk
LOAN20048,CUST10048,12-02-2025,49,Business Owner,898700,101000,688,1,137000,24,0.213,9.13,Business,Graduate,Mumbai,Approved,Default,Medium Risk
LOAN20049,CUST10049,21-02-2023,41,Business Owner,583600,215000,659,0,296700,60,0.589,10.49,Home,Diploma,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20050,CUST10050,13-10-2024,21,Salaried,674400,188000,670,1,104400,60,0.216,10.42,Personal,High School,Pune,Approved,No Default,Medium Risk
LOAN20051,CUST10051,14-06-2024,41,Salaried,327500,121000,758,1,9500,60,0.107,8.22,Personal,Graduate,Hyderabad,Approved,No Default,Low Risk
LOAN20052,CUST10052,24-04-2024,34,Salaried,597300,255000,768,0,272100,60,0.546,10.24,Home,Diploma,Hyderabad,Approved,No Default,Medium Risk
LOAN20053,CUST10053,09-08-2024,31,Unemployed,202000,131000,703,0,175100,72,0.985,12.29,Vehicle,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20054,CUST10054,18-08-2023,44,Salaried,513100,323000,662,0,108800,84,0.308,10.67,Home,Graduate,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20055,CUST10055,25-04-2024,48,Contract,416300,115000,653,1,8800,24,0.166,10.26,Personal,Diploma,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20056,CUST10056,10-05-2023,47,Self-Employed,262600,50000,553,1,53000,48,0.252,11.02,Personal,High School,Pune,Rejected,Not Applicable,High Risk
LOAN20057,CUST10057,24-02-2023,30,Salaried,435700,179000,745,0,255000,12,1.018,13.65,Medical,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20058,CUST10058,28-09-2023,35,Business Owner,818700,359000,631,1,409500,36,0.652,13.13,Home,Graduate,Ahmedabad,Approved,No Default,High Risk
LOAN20059,CUST10059,17-08-2025,41,Self-Employed,699700,246000,691,1,301500,60,0.509,10.76,Personal,Graduate,Coimbatore,Rejected,Not Applicable,Medium Risk
LOAN20060,CUST10060,10-04-2023,48,Contract,270400,50000,562,3,67900,72,0.285,11.95,Education,Postgraduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20061,CUST10061,10-03-2023,33,Contract,812900,29999,642,1,264900,72,0.408,12.23,Personal,Graduate,Pune,Rejected,Not Applicable,High Risk
LOAN20062,CUST10062,29-06-2025,36,Salaried,374100,176000,611,0,0,24,0.244,11.15,Personal,Graduate,Chennai Central,Approved,No Default,High Risk
LOAN20063,CUST10063,26-10-2023,27,Salaried,903000,390000,675,1,420400,24,0.702,12.49,Personal,Graduate,Kochi,Approved,No Default,High Risk
LOAN20064,CUST10064,27-08-2025,26,Self-Employed,795500,278000,658,0,389200,60,0.563,11.04,Business,Graduate,Kolkata,Approved,No Default,Medium Risk
LOAN20065,CUST10065,12-06-2024,46,Contract,324700,50000,598,1,193600,60,0.629,12.15,Business,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20066,CUST10066,20-12-2023,52,Salaried,1329400,537000,795,4,232700,36,0.315,7.92,Home,Diploma,Pune,Approved,No Default,Low Risk
LOAN20067,CUST10067,19-09-2024,37,Self-Employed,365400,50000,586,0,34100,72,0.117,11.03,Vehicle,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20068,CUST10068,01-06-2023,48,Self-Employed,1007400,243000,721,1,412000,72,0.453,10.27,Personal,Graduate,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20069,CUST10069,26-11-2023,42,Business Owner,1265700,432000,805,2,607000,48,0.574,10.08,Vehicle,Diploma,Ahmedabad,Approved,No Default,Medium Risk
LOAN20070,CUST10070,26-04-2023,32,Salaried,410900,97000,633,0,194200,72,0.514,12.65,Home,Postgraduate,Bengaluru,Approved,No Default,High Risk
LOAN20071,CUST10071,25-06-2024,42,Business Owner,1527700,664000,724,2,255100,36,0.321,10.4,Personal,Graduate,Hyderabad,Approved,No Default,Medium Risk
LOAN20072,CUST10072,19-11-2023,53,Contract,392700,115000,622,2,47200,60,0.181,10.04,Vehicle,Graduate,Mumbai,Approved,Default,High Risk
LOAN20073,CUST10073,16-07-2024,38,Salaried,651300,342000,749,2,259300,48,0.534,9.52,Vehicle,Postgraduate,Coimbatore,Approved,No Default,Medium Risk
LOAN20074,CUST10074,25-07-2024,54,Salaried,642500,144000,694,2,161600,24,0.377,10.89,Business,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20075,CUST10075,17-08-2023,21,Unemployed,192400,50000,551,3,64800,72,0.384,13.69,Vehicle,Postgraduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20076,CUST10076,09-02-2025,46,Salaried,836800,342000,729,3,272200,48,0.436,10.31,Home,Graduate,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20077,CUST10077,26-12-2023,39,Contract,648100,298000,598,1,354900,60,0.649,12.48,Home,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20078,CUST10078,05-01-2023,35,Self-Employed,279900,177000,676,1,103200,36,0.602,10.51,Business,Graduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20079,CUST10079,28-01-2023,39,Salaried,1060400,508000,746,1,538000,12,1.036,12,Medical,Postgraduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20080,CUST10080,04-02-2025,21,Contract,199400,51000,599,0,19200,24,0.228,10.52,Personal,Diploma,Pune,Rejected,Not Applicable,High Risk
LOAN20081,CUST10081,30-12-2023,36,Salaried,930700,274000,665,2,525000,48,0.641,12.06,Vehicle,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20082,CUST10082,06-04-2024,42,Self-Employed,1112900,419000,670,0,222800,60,0.282,11.17,Medical,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20083,CUST10083,19-08-2023,53,Salaried,335900,50000,683,2,72900,36,0.27,10.04,Personal,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20084,CUST10084,30-01-2024,33,Self-Employed,532000,101000,730,3,85600,60,0.203,7.73,Business,Graduate,Kolkata,Rejected,Not Applicable,Medium Risk
LOAN20085,CUST10085,25-08-2025,30,Salaried,333500,231000,618,2,136400,60,0.56,11.81,Personal,Diploma,Delhi,Rejected,Not Applicable,High Risk
LOAN20086,CUST10086,18-05-2025,33,Salaried,511400,150000,696,1,113500,60,0.287,10.41,Vehicle,Graduate,Kochi,Approved,No Default,Medium Risk
LOAN20087,CUST10087,12-12-2024,47,Unemployed,177000,156000,464,1,80600,48,0.686,15.87,Vehicle,High School,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20088,CUST10088,23-04-2025,41,Salaried,824400,102000,669,0,530300,72,0.666,12.17,Home,Postgraduate,Pune,Rejected,Not Applicable,High Risk
LOAN20089,CUST10089,28-09-2023,33,Self-Employed,1215400,679000,727,0,186000,48,0.301,10.63,Education,High School,Delhi,Rejected,Not Applicable,Medium Risk
LOAN20090,CUST10090,30-04-2025,43,Salaried,1108000,404000,678,0,575600,48,0.622,11.66,Personal,Postgraduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20091,CUST10091,31-10-2023,39,Business Owner,597800,305000,622,1,381200,36,0.815,13.42,Business,Graduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20092,CUST10092,18-01-2024,48,Salaried,512800,262000,634,3,25200,36,0.232,11.3,Personal,Graduate,Coimbatore,Approved,No Default,High Risk
LOAN20093,CUST10093,11-07-2024,31,Unemployed,120000,50000,589,2,48800,12,0.866,13.02,Vehicle,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20094,CUST10094,28-01-2023,35,Salaried,385100,214000,648,3,91000,60,0.355,10.5,Home,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20095,CUST10095,02-06-2024,34,Salaried,901000,99000,585,1,43500,36,0.088,10.33,Home,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20096,CUST10096,13-01-2025,23,Salaried,888474,176000,623,1,332300,36,0.323,11.7,Vehicle,Graduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20097,CUST10097,18-07-2023,41,Salaried,313500,124000,618,1,163500,60,0.606,11.66,Vehicle,High School,Hyderabad,Approved,No Default,High Risk
LOAN20098,CUST10098,28-08-2024,41,Self-Employed,487600,42987,684,1,79000,36,0.347,10.63,Personal,Graduate,Hyderabad,Approved,No Default,Medium Risk
LOAN20099,CUST10099,23-03-2023,38,Salaried,559900,221000,524,2,238700,36,0.562,13.74,Home,Diploma,Mumbai,Rejected,Not Applicable,High Risk
LOAN20100,CUST10100,29-03-2023,36,Business Owner,895700,258000,675,1,321900,36,0.466,10.53,Medical,Diploma,Bengaluru,Rejected,Not Applicable,Medium Risk
LOAN20101,CUST10101,25-01-2024,24,Salaried,384400,200000,629,2,194200,60,0.618,12.98,Vehicle,Diploma,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20102,CUST10102,28-11-2024,34,Salaried,695000,50000,765,1,85400,24,0.161,6.91,Business,Graduate,Ahmedabad,Approved,No Default,Low Risk
LOAN20103,CUST10103,24-01-2025,35,Self-Employed,516200,93000,640,2,234000,48,0.5,11.19,Vehicle,Graduate,Delhi,Approved,No Default,High Risk
LOAN20104,CUST10104,02-08-2024,30,Business Owner,777600,149000,712,0,361500,60,0.506,12.65,Home,Graduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20105,CUST10105,02-04-2025,36,Salaried,737000,162000,700,0,308300,60,0.464,11.83,Business,Graduate,Kochi,Approved,No Default,Medium Risk
LOAN20106,CUST10106,26-03-2024,42,Salaried,568800,270000,559,0,354000,60,0.72,12.47,Personal,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20107,CUST10107,08-03-2024,57,Salaried,459800,145000,708,1,239500,60,0.589,10.31,Vehicle,Diploma,Delhi,Approved,No Default,Medium Risk
LOAN20108,CUST10108,09-01-2024,40,Business Owner,742900,128000,700,2,36700,12,0.23,9.47,Vehicle,Graduate,Chennai Central,Approved,No Default,Medium Risk
LOAN20109,CUST10109,10-03-2024,41,Self-Employed,621100,216000,699,4,225000,36,0.484,9.32,Home,Graduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20110,CUST10110,06-07-2023,37,Salaried,474700,231000,850,2,98600,36,0.384,8.95,Personal,High School,Mumbai,Rejected,Not Applicable,Low Risk
LOAN20111,CUST10111,20-01-2025,21,Contract,391100,50000,519,1,106500,24,0.338,13.14,Business,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20112,CUST10112,25-01-2024,38,Business Owner,1686600,254000,850,0,558200,36,0.384,7.19,Home,Graduate,Hyderabad,Approved,No Default,Low Risk
LOAN20113,CUST10113,06-08-2023,39,Self-Employed,848200,225000,677,1,215900,36,0.347,10.61,Education,Diploma,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20114,CUST10114,18-04-2023,63,Contract,384200,161000,649,1,98400,60,0.347,11.1,Business,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20115,CUST10115,29-03-2025,36,Salaried,792300,284000,695,1,499600,60,0.709,10.74,Education,Postgraduate,Mumbai,Approved,No Default,High Risk
LOAN20116,CUST10116,03-07-2024,41,Salaried,483100,231000,645,4,56900,36,0.292,11.71,Personal,Graduate,Kochi,Rejected,Not Applicable,High Risk
LOAN20117,CUST10117,25-06-2025,38,Salaried,995700,509000,686,0,596900,60,0.707,11.71,Vehicle,Diploma,Kochi,Approved,No Default,High Risk
LOAN20118,CUST10118,05-08-2025,26,Salaried,677100,376000,705,1,239800,36,0.546,11.64,Personal,Graduate,Hyderabad,Rejected,Not Applicable,Medium Risk
LOAN20119,CUST10119,15-12-2023,49,Self-Employed,615500,175000,587,2,305200,36,0.594,12.45,Vehicle,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20120,CUST10120,26-02-2025,46,Contract,549000,146000,691,1,288200,60,0.582,9.55,Education,Postgraduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20121,CUST10121,05-06-2024,46,Salaried,266800,176000,624,0,28200,12,0.841,14.38,Home,Graduate,Chennai Central,Approved,No Default,High Risk
LOAN20122,CUST10122,26-01-2023,29,Salaried,330100,127000,591,1,122400,24,0.573,13.35,Personal,Graduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20123,CUST10123,17-02-2023,52,Salaried,319700,50000,627,0,136600,48,0.468,12.62,Personal,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20124,CUST10124,08-05-2025,24,Contract,474200,125000,711,0,140100,84,0.335,10.62,Personal,Graduate,Pune,Approved,No Default,Medium Risk
LOAN20125,CUST10125,05-01-2024,44,Salaried,1302400,426000,717,2,761200,60,0.655,10.83,Personal,Graduate,Delhi,Approved,Default,High Risk
LOAN20126,CUST10126,14-01-2023,60,Self-Employed,1891100,446000,813,3,900000,24,0.605,8.59,Education,Postgraduate,Delhi,Approved,No Default,High Risk
LOAN20127,CUST10127,03-09-2024,28,Salaried,770200,394000,655,1,60900,72,0.172,9.92,Home,Postgraduate,Ahmedabad,Rejected,Not Applicable,Medium Risk
LOAN20128,CUST10128,06-07-2023,32,Salaried,721100,191000,733,1,98900,60,0.196,9.13,Business,Postgraduate,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20129,CUST10129,07-06-2024,39,Unemployed,120000,50000,611,1,3000,60,0.114,10.78,Vehicle,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20130,CUST10130,02-06-2025,33,Unemployed,158100,50000,678,1,9800,60,0.128,7.94,Education,Graduate,Delhi,Rejected,Not Applicable,Medium Risk
LOAN20131,CUST10131,09-06-2025,22,Salaried,388500,136000,649,1,138600,48,0.449,11.12,Home,Postgraduate,Kochi,Approved,Default,High Risk
LOAN20132,CUST10132,06-10-2023,39,Unemployed,152300,104000,613,1,23900,36,0.405,12.82,Home,Diploma,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20133,CUST10133,07-12-2023,27,Self-Employed,597800,184000,674,2,208100,60,0.415,10.63,Vehicle,Graduate,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20134,CUST10134,24-11-2023,43,Contract,353000,177000,702,0,23600,60,0.175,10.94,Business,Graduate,Mumbai,Approved,No Default,Medium Risk
LOAN20135,CUST10135,09-11-2024,29,Salaried,219300,170000,603,1,53200,60,0.412,11.12,Business,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20136,CUST10136,25-09-2024,53,Self-Employed,355688,358000,742,0,398700,60,0.514,10.08,Business,Postgraduate,Coimbatore,Approved,No Default,Medium Risk
LOAN20137,CUST10137,23-06-2025,30,Self-Employed,387200,142000,638,0,147500,84,0.439,10.58,Business,Postgraduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20138,CUST10138,10-09-2025,35,Self-Employed,726900,50000,678,1,461800,72,0.648,10.8,Business,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20139,CUST10139,29-08-2024,46,Salaried,1534400,758000,774,0,856700,72,0.649,9.09,Vehicle,Postgraduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20140,CUST10140,25-01-2023,26,Salaried,364700,82000,670,1,152800,60,0.466,12.67,Education,Graduate,Hyderabad,Approved,No Default,Medium Risk
LOAN20141,CUST10141,12-06-2024,40,Salaried,168300,60000,631,0,24900,84,0.204,10.35,Business,Graduate,Pune,Approved,No Default,High Risk
LOAN20142,CUST10142,01-03-2024,51,Business Owner,682600,78000,694,1,376600,24,0.615,10.51,Education,Diploma,Delhi,Rejected,Not Applicable,High Risk
LOAN20143,CUST10143,29-01-2023,22,Salaried,961800,256000,801,0,609300,36,0.728,9.59,Education,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20144,CUST10144,13-08-2025,40,Self-Employed,1658900,610000,825,0,900000,48,0.644,8.65,Education,Graduate,Mumbai,Approved,No Default,High Risk
LOAN20145,CUST10145,19-11-2023,41,Unemployed,120000,51000,621,1,11600,72,0.174,11.27,Vehicle,High School,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20146,CUST10146,02-05-2025,46,Salaried,719700,304000,666,0,475600,60,0.748,10.47,Vehicle,Diploma,Mumbai,Approved,Default,High Risk
LOAN20147,CUST10147,09-11-2023,26,Self-Employed,518300,287000,612,0,81600,60,0.277,10.43,Home,Diploma,Kolkata,Rejected,Not Applicable,High Risk
LOAN20148,CUST10148,06-08-2024,25,Salaried,538900,180000,726,1,257400,24,0.652,11.32,Vehicle,Graduate,Ahmedabad,Rejected,Not Applicable,High Risk
LOAN20149,CUST10149,27-09-2023,43,Contract,1575600,567000,796,1,900000,36,0.705,9.2,Business,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20150,CUST10150,31-01-2025,41,Salaried,275600,51000,729,1,57400,60,0.249,8.37,Personal,High School,Chennai Central,Approved,No Default,Medium Risk
LOAN20151,CUST10151,22-10-2023,41,Business Owner,884400,514000,668,1,534500,36,0.806,11.66,Business,Postgraduate,Kolkata,Rejected,Not Applicable,High Risk
LOAN20152,CUST10152,17-10-2024,41,Contract,554200,53000,637,1,144600,36,0.294,11.39,Home,Diploma,Delhi,Rejected,Not Applicable,High Risk
LOAN20153,CUST10153,24-02-2025,31,Contract,745700,352000,578,0,480100,36,0.814,14.5,Home,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20154,CUST10154,11-08-2023,40,Business Owner,820700,414000,674,0,149300,36,0.36,11.18,Personal,Graduate,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20155,CUST10155,16-03-2023,41,Self-Employed,751300,417000,739,5,443900,60,0.706,9.69,Vehicle,High School,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20156,CUST10156,12-04-2023,31,Self-Employed,536900,248000,637,0,30400,36,0.223,9.55,Personal,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20157,CUST10157,15-06-2024,57,Contract,503900,206000,680,2,232600,60,0.549,11.96,Business,Graduate,Kolkata,Rejected,Not Applicable,Medium Risk
LOAN20158,CUST10158,20-09-2024,43,Self-Employed,549600,179000,654,1,229200,24,0.586,11.84,Personal,Graduate,Pune,Rejected,Not Applicable,Medium Risk
LOAN20159,CUST10159,16-11-2024,26,Salaried,764100,177000,713,0,228200,60,0.35,9.18,Medical,Graduate,Bengaluru,Approved,No Default,Medium Risk
LOAN20160,CUST10160,03-06-2025,45,Contract,370800,178000,569,1,59300,36,0.338,12.08,Vehicle,Graduate,Bengaluru,Approved,No Default,High Risk
LOAN20161,CUST10161,22-06-2023,28,Business Owner,938400,50000,711,1,468000,60,0.51,9.36,Education,Graduate,Bengaluru,Approved,No Default,Medium Risk
LOAN20162,CUST10162,04-01-2023,46,Self-Employed,639000,213000,508,2,97600,60,0.226,12.44,Personal,Graduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20163,CUST10163,01-05-2025,50,Salaried,973500,102000,705,2,383100,36,0.43,10.26,Home,Diploma,Hyderabad,Approved,No Default,Medium Risk
LOAN20164,CUST10164,23-04-2024,30,Self-Employed,632200,92000,583,1,124200,72,0.222,11.78,Education,Graduate,Chennai Central,Rejected,Not Applicable,High Risk
LOAN20165,CUST10165,21-10-2024,48,Salaried,242100,50000,711,0,157300,60,0.693,11,Education,High School,Kolkata,Rejected,Not Applicable,High Risk
LOAN20166,CUST10166,30-01-2024,42,Self-Employed,1187500,404000,769,2,74100,48,0.156,7.73,Vehicle,Graduate,Bengaluru,Approved,No Default,Low Risk
LOAN20167,CUST10167,17-09-2024,46,Salaried,367100,148000,682,0,79000,36,0.365,10.87,Home,Postgraduate,Chennai Central,Approved,No Default,Medium Risk
